学期id,新学期课程序号,课程代码,课程名称,课程教师,平均分,最高分,最低分,预测人数,实际人数,90-100比例,80-89.9比例,70-79.9比例,60-69.9比例,0-59.9比例
562,0836	,b1100009,形势与政策（模块4）,张建忠,87.7,94,65,80,80,1.2%,90%,6.2%,0%,2.5%
562,0836	,b1100009,形势与政策（模块4）,张建忠,87.8,93,65,86,86,1.2%,91.9%,5.8%,0%,1.2%
622,0223	,g2062211,情商提升与管理,外教英,88.1,98,0,37,38,92.1%,2.6%,0%,0%,5.3%
622,0903	,b2011003,ERP原理与应用,陈驻民,82,95,34,37,37,16.2%,43.2%,13.5%,21.6%,5.4%
602,0903	,b2011003,ERP原理与应用,陈驻民,85,85,85,1,1,0%,100%,0%,0%,0%
562,0903	,b2011003,ERP原理与应用,陈驻民,84.8,92,78,43,42,26.2%,73.8%,0%,0%,0%
622,0239	,b2011011,变频调速系统,徐洁,78,94,56,45,42,2.4%,16.7%,26.2%,45.2%,9.5%
622,0909	,b2011016,测试技术,安双利,69.1,97,14,47,47,12.8%,12.8%,19.1%,19.1%,36.2%
622,0910	,b2011019,成型机械及控制,肖艳红,65.1,90,40,33,33,0%,15.2%,9.1%,9.1%,66.7%
562,0910	,b2011019,成型机械及控制,肖艳红,70.6,91,48,39,38,0%,13.2%,10.5%,34.2%,42.1%
622,0912	,b2011022,冲压工艺及模具设计(CAD/CAE),田浩彬,81.4,95,50,34,34,8.8%,38.2%,23.5%,20.6%,8.8%
562,0912	,b2011022,冲压工艺及模具设计(CAD/CAE),田浩彬,72.2,92,40,39,38,2.6%,18.4%,21.1%,23.7%,34.2%
622,0827	,b2011031,电路,冯涛,61.1,86,36,73,70,0%,2.9%,8.6%,22.9%,65.7%
562,0827	,b2011031,电路,冯涛,53.2,85,23,58,57,0%,3.5%,5.3%,8.8%,82.5%
622,0915	,b2011032,电路设计制版,何成,83.5,95,72,60,60,38.3%,35%,25%,1.7%,0%
602,0915	,b2011032,电路设计制版,何成,80,80,80,1,1,0%,100%,0%,0%,0%
562,0915	,b2011032,电路设计制版,何成,85,90,75,69,69,55.1%,34.8%,10.1%,0%,0%
622,0916	,b2011035,电子商务,杨敬辉,77.3,91,60,42,42,7.1%,33.3%,26.2%,16.7%,16.7%
562,0916	,b2011035,电子商务,杨敬辉,81.9,95,70,48,48,16.7%,35.4%,31.2%,12.5%,4.2%
622,0917	,b2011037,发动机原理,梁彩平,73.4,96,28,59,57,5.3%,35.1%,10.5%,22.8%,26.3%
562,0917	,b2011037,发动机原理,梁彩平,77.1,98,36,72,70,12.9%,28.6%,25.7%,18.6%,14.3%
622,1896	,b1070013,男定向-1,邵国平,67.9,90,0,28,28,7.1%,28.6%,28.6%,25%,10.7%
622,1896	,b1070013,男定向-1,邵国平,73.4,96,0,36,36,13.9%,8.3%,47.2%,27.8%,2.8%
622,1896	,b1070013,男定向-1,邵国平,72.5,94,0,35,35,5.7%,42.9%,31.4%,11.4%,8.6%
562,1896	,b1070013,男定向-1,邵国平,78.8,93,66,35,31,9.7%,32.3%,51.6%,6.5%,0%
562,1896	,b1070013,男定向-1,邵国平,80.8,95,62,39,39,20.5%,35.9%,35.9%,7.7%,0%
622,0922	,b2011046,工程经济学,潘芳煜,80.1,100,40,28,26,23.1%,19.2%,26.9%,7.7%,23.1%
562,0922	,b2011046,工程经济学,潘芳煜,82,100,61,31,31,32.3%,16.1%,16.1%,16.1%,19.4%
622,0946	,b2011077,机械设计,崔立,61.7,92,21,51,50,8%,10%,14%,12%,56%
602,0946	,b2011077,机械设计,崔立,68.7,96,6,47,47,8.5%,19.1%,14.9%,17%,40.4%
561,0946	,b2011077,机械设计,崔立,74.3,95,30,66,65,15.4%,21.5%,15.4%,20%,27.7%
622,1009	,b2011180,计算机辅助制造（UG）,蔡捷,78.9,97,62,47,46,23.9%,15.2%,26.1%,26.1%,8.7%
562,1009	,b2011180,计算机辅助制造（UG）,蔡捷,75.1,88,60,42,42,11.9%,28.6%,35.7%,19%,4.8%
622,1014	,b2011192,项目管理入门,夏妍春,84.2,91,79,23,20,5%,70%,25%,0%,0%
562,1014	,b2011192,项目管理入门,夏妍春,83.6,90,73,27,27,7.4%,59.3%,33.3%,0%,0%
622,1017	,b2011207,数控机床与编程,姚国强,78,97,46,26,23,4.3%,47.8%,26.1%,13%,8.7%
562,1017	,b2011207,数控机床与编程,姚国强,76.1,90,39,27,26,7.7%,38.5%,19.2%,19.2%,15.4%
622,1025	,b2011258,机械设计3,张飞,82.9,95,67,26,23,4.3%,60.9%,34.8%,0%,0%
562,1025	,b2011258,机械设计3,张飞,85.3,95,65,27,27,7.4%,77.8%,11.1%,3.7%,0%
622,1029	,b2011279,管理成本会计,刘振超,64.7,91,36,77,76,0%,3.9%,3.9%,18.4%,73.7%
622,1032	,b2011284,管理信息系统,杨敬辉,70.5,94,47,76,75,1.3%,6.7%,10.7%,13.3%,68%
622,1036	,b2011291,计算机程序设计,杜万和,75.5,95,47,76,75,5.3%,20%,20%,32%,22.7%
622,1037	,b2011292,自动控制原理,张希靓,46,88,6,53,53,0%,0%,5.7%,3.8%,90.6%
622,1897	,b1070015,男花绳-1,郭洪光,80.5,96,0,36,36,22.2%,36.1%,36.1%,2.8%,2.8%
622,1897	,b1070015,男花绳-1,郭洪光,81.6,97,0,36,36,19.4%,55.6%,22.2%,0%,2.8%
622,1897	,b1070015,男花绳-1,郭洪光,74.9,97,0,34,34,8.8%,38.2%,44.1%,2.9%,5.9%
562,1897	,b1070015,男花绳-1,郭洪光,71.5,95,0,34,34,11.8%,26.5%,44.1%,5.9%,11.8%
562,1897	,b1070015,男花绳-1,郭洪光,77.3,95,0,39,39,10.3%,30.8%,53.8%,2.6%,2.6%
562,1897	,b1070015,男花绳-1,郭洪光,77.5,97,0,31,31,19.4%,48.4%,22.6%,3.2%,6.5%
622,1044	,b2011308,机械制造基础,傅建钦,81.2,98,60,29,29,41.4%,20.7%,13.8%,20.7%,3.4%
622,0633	,b2011328,单片机原理及接口技术,王振华,77.9,97,61,33,32,6.2%,12.5%,53.1%,21.9%,6.2%
622,1066	,b2012002,DSP原理与应用（英语）,胡金艳,74.1,96,40,56,56,16.1%,26.8%,17.9%,30.4%,8.9%
622,1066	,b2012002,DSP原理与应用（英语）,胡金艳,70,70,70,1,1,0%,0%,100%,0%,0%
562,1066	,b2012002,DSP原理与应用（英语）,胡金艳,74.7,97,18,42,42,19%,26.2%,33.3%,11.9%,9.5%
622,1067	,b2012003,DSP原理与应用,戴虹,83.4,93,69,47,47,31.9%,25.5%,36.2%,6.4%,0%
562,1067	,b2012003,DSP原理与应用,戴虹,84,92,70,26,25,24%,60%,4%,12%,0%
622,1069	,b2012005,EDA技术与应用,戴虹,86.3,95,77,44,44,36.4%,54.5%,9.1%,0%,0%
622,1069	,b2012005,EDA技术与应用,戴虹,87,94,81,41,39,41%,59%,0%,0%,0%
562,1069	,b2012005,EDA技术与应用,戴虹,85.4,96,50,68,68,45.6%,44.1%,2.9%,5.9%,1.5%
622,1071	,b2012006,Java程序设计,唐姗,73.9,90,65,85,83,2.4%,8.4%,41%,48.2%,0%
622,1071	,b2012006,Java程序设计,唐姗,73.6,91,60,68,64,1.6%,7.8%,42.2%,46.9%,1.6%
602,1071	,b2012006,Java程序设计,唐姗,76,91,70,11,11,9.1%,9.1%,54.5%,27.3%,0%
562,1071	,b2012006,Java程序设计,唐姗,73.6,95,0,136,136,3.7%,14%,33.1%,40.4%,8.8%
622,1073	,b2012010,MudBox数字雕刻,郑磊,80.7,97,60,56,56,8.9%,33.9%,37.5%,19.6%,0%
562,1073	,b2012010,MudBox数字雕刻,郑磊,82.2,93,67,50,50,10%,40%,36%,14%,0%
622,1075	,b2012016,操作系统,朱彬,70.4,92,40,73,72,1.4%,20.8%,22.2%,31.9%,23.6%
622,1075	,b2012016,操作系统,朱彬,62.8,75,55,6,4,0%,0%,0%,25%,75%
562,1075	,b2012016,操作系统,朱彬,73.6,93,42,50,48,2.1%,18.8%,35.4%,18.8%,25%
622,0531	,b2012016,操作系统,张世明,74.6,91,42,56,56,1.8%,19.6%,25%,26.8%,26.8%
562,0531	,b2012016,操作系统,张世明,75.2,96,38,70,69,4.3%,26.1%,33.3%,18.8%,17.4%
622,1077	,b2012017,测量技术与设备,王真星,84,94,80,24,23,13%,52.2%,34.8%,0%,0%
622,0251	,b1020035,大学化学,徐金球,64.7,86,38,40,39,0%,0%,12.8%,7.7%,79.5%
602,0251	,b1020035,大学化学,徐金球,67.6,88,41,41,41,0%,2.4%,29.3%,14.6%,53.7%
602,0251	,b1020035,大学化学,徐金球,68.1,88,8,38,37,0%,5.4%,24.3%,18.9%,51.4%
561,0251	,b1020035,大学化学,徐金球,66.9,85,43,40,40,0%,2.5%,27.5%,20%,50%
561,0251	,b1020035,大学化学,徐金球,63.1,87,24,40,40,0%,5%,25%,15%,55%
561,0251	,b1020035,大学化学,徐金球,71.7,91,37,39,39,0%,10.3%,35.9%,28.2%,25.6%
561,0251	,b1020035,大学化学,徐金球,65.4,83,33,40,40,0%,2.5%,17.5%,20%,60%
561,0251	,b1020035,大学化学,徐金球,65.3,92,0,40,40,2.5%,5%,12.5%,32.5%,47.5%
561,0251	,b1020035,大学化学,徐金球,67.7,89,41,40,39,0%,7.7%,12.8%,25.6%,53.8%
622,0069	,b2012022,电磁场与电磁波,胡海江,77.5,97,46,40,40,17.5%,17.5%,25%,25%,15%
622,0069	,b2012022,电磁场与电磁波,胡海江,71.8,97,44,47,47,8.5%,4.3%,34%,27.7%,25.5%
562,0069	,b2012022,电磁场与电磁波,胡海江,75.5,93,60,48,47,10.6%,6.4%,21.3%,40.4%,21.3%
562,0069	,b2012022,电磁场与电磁波,胡海江,71.2,97,51,33,30,10%,3.3%,13.3%,33.3%,40%
622,0788	,b2041099,设计构成(A),张桂宜,75,75,75,2,2,0%,0%,100%,0%,0%
622,0788	,b2041099,设计构成(A),张桂宜,83.1,95,72,22,22,18.2%,36.4%,27.3%,18.2%,0%
562,0788	,b2041099,设计构成(A),张桂宜,82.8,96,60,21,19,21.1%,63.2%,10.5%,5.3%,0%
622,1086	,b2012031,光传输系统,王炼栋,80.8,94,63,30,30,16.7%,33.3%,36.7%,13.3%,0%
562,1086	,b2012031,光传输系统,王炼栋,79.4,98,63,36,36,11.1%,25%,22.2%,36.1%,5.6%
622,1087	,b2012032,光电检测技术,毛炼成,85.4,91,64,13,13,46.2%,38.5%,15.4%,0%,0%
562,1087	,b2012032,光电检测技术,毛炼成,85.7,93,76,17,17,29.4%,64.7%,5.9%,0%,0%
622,1088	,b2012034,光通信基础,桂林,76.6,86,60,25,24,8.3%,58.3%,29.2%,4.2%,0%
562,1088	,b2012034,光通信基础,桂林,80.1,91,70,32,32,9.4%,56.2%,34.4%,0%,0%
622,1089	,b2012037,光纤通信系统,王建军,82,94,69,30,29,17.2%,31%,44.8%,6.9%,0%
562,1089	,b2012037,光纤通信系统,王建军,81.5,93,72,36,36,16.7%,33.3%,47.2%,2.8%,0%
622,1090	,b2012038,广域网接入技术,李蓓蓓,84.6,90,82,49,49,22.4%,75.5%,2%,0%,0%
562,1090	,b2012038,广域网接入技术,李蓓蓓,84.5,96,70,41,41,19.5%,43.9%,24.4%,12.2%,0%
622,1091	,b2012043,计算机体系结构,孔亮亮,69.5,92,35,56,56,7.1%,5.4%,19.6%,30.4%,37.5%
562,1091	,b2012043,计算机体系结构,孔亮亮,67.1,93,15,88,88,4.5%,9.1%,11.4%,28.4%,46.6%
622,1093	,b2012045,计算机网络,姜存理,71.7,99,43,35,34,8.8%,17.6%,20.6%,26.5%,26.5%
602,1093	,b2012045,计算机网络,姜存理,58.3,91,28,83,83,0%,6%,7.2%,19.3%,67.5%
562,1093	,b2012045,计算机网络,姜存理,67.4,92,34,54,54,1.9%,20.4%,25.9%,18.5%,33.3%
561,1093	,b2012045,计算机网络,姜存理,67.1,92,32,79,75,0%,13.3%,17.3%,22.7%,46.7%
622,1094	,b2012046,计算机组成原理,杨洁,66,94,24,124,123,3.3%,13.8%,22%,17.9%,43.1%
602,1094	,b2012046,计算机组成原理,杨洁,56.2,80,30,42,41,0%,0%,7.3%,4.9%,87.8%
562,1094	,b2012046,计算机组成原理,杨洁,59.7,87,28,73,71,0%,7%,14.1%,12.7%,66.2%
622,0533	,b2012046,计算机组成原理,黄丽佳,63.9,90,21,58,57,1.8%,12.3%,15.8%,21.1%,49.1%
602,0533	,b2012046,计算机组成原理,黄丽佳,57.8,85,24,71,71,0%,1.4%,12.7%,16.9%,69%
602,0533	,b2012046,计算机组成原理,黄丽佳,53.6,87,21,88,88,0%,2.3%,5.7%,13.6%,78.4%
562,0533	,b2012046,计算机组成原理,黄丽佳,59.6,88,24,70,67,0%,4.5%,14.9%,22.4%,58.2%
561,0533	,b2012046,计算机组成原理,黄丽佳,64.2,95,21,96,92,4.3%,14.1%,15.2%,22.8%,43.5%
561,0533	,b2012046,计算机组成原理,黄丽佳,56.7,86,23,67,65,0%,1.5%,13.8%,20%,64.6%
622,1098	,b2012047,交互式数字媒体设计,施红,79.9,92,47,49,49,40.8%,14.3%,26.5%,14.3%,4.1%
622,1098	,b2012047,交互式数字媒体设计,施红,100,100,100,2,2,100%,0%,0%,0%,0%
562,1098	,b2012047,交互式数字媒体设计,施红,74.7,100,26,58,57,3.5%,42.1%,0%,36.8%,17.5%
622,1099	,b2012054,宽带接入技术及应用,桂林,75.8,87,63,25,24,0%,79.2%,16.7%,4.2%,0%
562,1099	,b2012054,宽带接入技术及应用,桂林,78.8,91,69,32,32,9.4%,43.8%,46.9%,0%,0%
622,1100	,b2012058,面向对象分析与设计,王帅,71.8,98,20,44,43,2.3%,16.3%,44.2%,14%,23.3%
602,1100	,b2012058,面向对象分析与设计,王帅,63,71,53,4,4,0%,0%,25%,50%,25%
562,1100	,b2012058,面向对象分析与设计,王帅,68.8,91,31,48,47,0%,14.9%,27.7%,12.8%,44.7%
622,0829	,b2012061,模拟电子技术,蔡丽俊,73.5,98,31,40,40,22.5%,17.5%,7.5%,10%,42.5%
622,1102	,b2012063,嵌入式操作系统应用开发,崔莉莉,66.1,89,29,48,46,0%,4.3%,17.4%,23.9%,54.3%
602,1102	,b2012063,嵌入式操作系统应用开发,崔莉莉,74.7,81,70,3,3,0%,0%,33.3%,66.7%,0%
562,1102	,b2012063,嵌入式操作系统应用开发,崔莉莉,72.3,92,49,44,44,0%,13.6%,22.7%,22.7%,40.9%
622,1103	,b2012064,嵌入式软件开发技术,石林祥,73,94,37,48,46,8.7%,10.9%,23.9%,23.9%,32.6%
562,1103	,b2012064,嵌入式软件开发技术,石林祥,68.6,98,27,45,45,4.4%,8.9%,13.3%,26.7%,46.7%
622,0293	,b2041017,包装结构设计,罗兵,83.6,90,65,24,24,4.2%,91.7%,0%,4.2%,0%
622,1108	,b2012074,软件项目管理,李丽萍,82,90,78,12,11,9.1%,36.4%,54.5%,0%,0%
562,1108	,b2012074,软件项目管理,李丽萍,80.5,92,68,34,34,5.9%,61.8%,20.6%,11.8%,0%
622,0307	,b2041050,创意过程,田华,87.8,95,79,24,24,37.5%,58.3%,4.2%,0%,0%
622,0625	,b2012077,射频电子线路,柴郁,77.8,90,60,37,36,2.8%,41.7%,27.8%,19.4%,8.3%
622,1110	,b2012079,视听语言,吴嘉琪,77.1,90,69,49,49,2%,10.2%,87.8%,0%,0%
562,1110	,b2012079,视听语言,吴嘉琪,79.8,94,70,59,59,10.2%,23.7%,66.1%,0%,0%
622,1335	,b2030047,国际贸易实务,陈琳,77,97,20,63,58,8.6%,17.2%,27.6%,31%,15.5%
622,1335	,b2030047,国际贸易实务,陈琳,83.2,93,50,46,38,15.8%,42.1%,34.2%,5.3%,2.6%
622,1335	,b2030047,国际贸易实务,陈琳,88.5,94,83,2,2,50%,50%,0%,0%,0%
562,1335	,b2030047,国际贸易实务,陈琳,71.2,91,25,58,58,3.4%,22.4%,13.8%,27.6%,32.8%
562,1335	,b2030047,国际贸易实务,陈琳,76.3,90,43,48,43,0%,25.6%,37.2%,27.9%,9.3%
622,1338	,b2030052,国际物流管理,景平,76.7,95,15,62,62,9.7%,22.6%,24.2%,25.8%,17.7%
562,1338	,b2030052,国际物流管理,景平,74.5,92,41,66,66,0%,25.8%,30.3%,21.2%,22.7%
622,0176	,b1020004,通用英语IV,夏轶韫,67.9,84,34,45,44,0%,2.3%,20.5%,27.3%,50%
622,0176	,b1020004,通用英语IV,夏轶韫,66.8,84,44,27,27,0%,3.7%,18.5%,22.2%,55.6%
622,1340	,b2030057,化工品包装运输与仓储管理,刘振超,82,95,60,33,33,18.2%,33.3%,30.3%,18.2%,0%
562,1340	,b2030057,化工品包装运输与仓储管理,刘振超,76,90,60,23,23,0%,17.4%,34.8%,26.1%,21.7%
622,1341	,b2030060,会计学原理,唐海鸥,73,99,37,89,88,2.3%,14.8%,37.5%,25%,20.5%
602,1341	,b2030060,会计学原理,唐海鸥,75.7,93,28,85,85,1.2%,31.8%,31.8%,16.5%,18.8%
562,1341	,b2030060,会计学原理,唐海鸥,72.5,92,48,87,86,0%,14%,32.6%,12.8%,40.7%
561,1341	,b2030060,会计学原理,唐海鸥,59.8,90,33,144,143,0%,2.8%,5.6%,10.5%,81.1%
622,1796	,b2030163,运营管理,李盈,64.6,88,36,81,79,0%,1.3%,15.2%,24.1%,59.5%
622,1796	,b2030163,运营管理,李盈,69,69,69,1,1,0%,0%,0%,100%,0%
602,1796	,b2030163,运营管理,李盈,70.6,96,22,49,48,6.2%,12.5%,12.5%,33.3%,35.4%
562,1796	,b2030163,运营管理,李盈,62.9,90,22,127,127,0%,1.6%,11.8%,18.1%,68.5%
622,1347	,b2030061,会议组织与管理,曾学慧,86.4,94,30,24,20,70%,20%,5%,0%,5%
622,1347	,b2030061,会议组织与管理,曾学慧,70,70,70,1,1,0%,0%,100%,0%,0%
561,1347	,b2030061,会议组织与管理,曾学慧,70.5,92,29,76,76,6.6%,14.5%,15.8%,39.5%,23.7%
622,1349	,b2030065,会展广告策划与制作,田金梅,87.7,93,73,65,65,13.8%,84.6%,1.5%,0%,0%
622,1351	,b2030068,会展现场服务与管理,王尚君,84.8,90,78,24,18,22.2%,77.8%,0%,0%,0%
562,1351	,b2030068,会展现场服务与管理,王尚君,84.7,92,71,77,71,2.8%,77.5%,19.7%,0%,0%
622,1354	,b2030076,计量经济学,赵迎东,76.8,93,60,33,31,6.5%,19.4%,32.3%,25.8%,16.1%
622,1354	,b2030076,计量经济学,赵迎东,67.5,84,51,2,2,0%,50%,0%,0%,50%
602,1354	,b2030076,计量经济学,赵迎东,71.2,96,25,87,84,2.4%,19%,22.6%,20.2%,35.7%
562,1354	,b2030076,计量经济学,赵迎东,69.2,90,32,45,45,0%,13.3%,26.7%,26.7%,33.3%
561,1354	,b2030076,计量经济学,赵迎东,69.4,97,22,89,88,8%,19.3%,19.3%,18.2%,35.2%
622,1355	,b2030079,金融机构信用管理,郑秀君,73.1,90,40,79,77,0%,16.9%,32.5%,23.4%,27.3%
622,1355	,b2030079,金融机构信用管理,郑秀君,67.2,83,47,20,20,0%,5%,25%,25%,45%
562,1355	,b2030079,金融机构信用管理,郑秀君,66.6,85,33,123,123,0%,1.6%,21.1%,35.8%,41.5%
622,0355	,b2011074,机械工程测试技术,杨淑珍,67.5,96,23,59,58,8.6%,17.2%,17.2%,24.1%,32.8%
562,0355	,b2011074,机械工程测试技术,杨淑珍,66.4,95,25,80,80,6.2%,17.5%,16.2%,31.2%,28.8%
622,0742	,b1020045,英语国家概况,李莉萍,76.5,90,60,47,45,2.2%,35.6%,33.3%,13.3%,15.6%
622,0742	,b1020045,英语国家概况,李莉萍,75.2,87,60,48,48,0%,22.9%,45.8%,22.9%,8.3%
562,0742	,b1020045,英语国家概况,李莉萍,80.5,90,65,48,48,10.4%,45.8%,25%,18.8%,0%
562,0742	,b1020045,英语国家概况,李莉萍,80.1,90,67,34,33,3%,39.4%,45.5%,12.1%,0%
622,0325	,b1020052,交际英语,解曦,85.7,95,76,49,48,31.2%,50%,18.8%,0%,0%
622,0325	,b1020052,交际英语,解曦,87.3,94,81,48,47,31.9%,66%,2.1%,0%,0%
622,0325	,b1020052,交际英语,解曦,84,93,71,46,46,21.7%,52.2%,21.7%,4.3%,0%
562,0325	,b1020052,交际英语,解曦,81.5,94,67,49,48,20.8%,37.5%,33.3%,8.3%,0%
562,0325	,b1020052,交际英语,解曦,83.5,95,72,46,46,21.7%,54.3%,19.6%,4.3%,0%
562,0325	,b1020052,交际英语,解曦,84.3,95,69,49,48,27.1%,54.2%,12.5%,6.2%,0%
622,1832	,b2030219,会展策划,辜应康,75.3,86,61,38,38,0%,7.9%,44.7%,34.2%,13.2%
622,1832	,b2030219,会展策划,辜应康,75.2,91,55,38,37,2.7%,16.2%,37.8%,16.2%,27%
622,1378	,b2030104,日语,裴峰学,79.5,95,48,28,26,15.4%,34.6%,23.1%,15.4%,11.5%
622,1379	,b2030105,商务沟通,庄伟,84.8,99,60,56,49,59.2%,14.3%,6.1%,8.2%,12.2%
562,1379	,b2030105,商务沟通,庄伟,79.7,95,62,49,45,2.2%,40%,46.7%,8.9%,2.2%
622,1310	,b2030011,采购和供应链管理,李荷华,85.2,92,73,45,45,20%,57.8%,22.2%,0%,0%
562,1310	,b2030011,采购和供应链管理,李荷华,76.6,92,44,89,88,3.4%,27.3%,40.9%,18.2%,10.2%
622,1395	,b2030141,物流系统规划与设计,杨涛,84.5,91,70,95,95,13.7%,64.2%,22.1%,0%,0%
562,1395	,b2030141,物流系统规划与设计,杨涛,81.8,91,73,89,89,11.2%,37.1%,51.7%,0%,0%
622,1412	,b2030159,应用统计学,羊英,68.7,90,28,84,84,2.4%,19%,13.1%,25%,40.5%
562,1412	,b2030159,应用统计学,羊英,68.3,89,38,28,27,0%,11.1%,14.8%,37%,37%
622,1794	,b2030161,数据可视化设计,陈建,82.7,92,70,48,48,14.6%,64.6%,20.8%,0%,0%
622,1794	,b2030161,数据可视化设计,陈建,72,72,72,1,1,0%,0%,100%,0%,0%
562,1794	,b2030161,数据可视化设计,陈建,84.9,94,60,21,21,19%,52.4%,19%,9.5%,0%
622,1795	,b2030162,运输管理,林慧丹,69.4,84,52,82,82,0%,0%,6.1%,25.6%,68.3%
622,1795	,b2030162,运输管理,林慧丹,80,80,80,1,1,0%,0%,100%,0%,0%
562,1795	,b2030162,运输管理,林慧丹,68.6,88,50,90,88,0%,1.1%,23.9%,28.4%,46.6%
622,1798	,b2030163,运营管理,尹诗,70.9,91,45,73,72,0%,5.6%,23.6%,25%,45.8%
622,1799	,b2030163,运营管理,杨涛,77.3,91,52,82,81,0%,35.8%,32.1%,23.5%,8.6%
602,1799	,b2030163,运营管理,杨涛,76.4,88,65,84,84,0%,14.3%,40.5%,39.3%,6%
562,1799	,b2030163,运营管理,杨涛,74,91,45,139,137,0%,10.9%,37.2%,24.1%,27.7%
562,1799	,b2030163,运营管理,杨涛,75.1,90,63,40,40,0%,15%,37.5%,32.5%,15%
561,1799	,b2030163,运营管理,杨涛,75.6,91,47,92,92,0%,26.1%,39.1%,22.8%,12%
622,1801	,b2030166,征信技术,李志军,73.8,93,46,110,106,2.8%,13.2%,35.8%,20.8%,27.4%
622,1801	,b2030166,征信技术,李志军,61,61,61,1,1,0%,0%,0%,0%,100%
562,1801	,b2030166,征信技术,李志军,66.6,88,39,121,121,0%,4.1%,11.6%,25.6%,58.7%
622,1803	,b2030167,证券投资理论与实务,汤继平,86.5,95,76,42,42,57.1%,42.9%,0%,0%,0%
562,1803	,b2030167,证券投资理论与实务,汤继平,87.4,96,81,41,40,17.5%,80%,2.5%,0%,0%
622,0345	,b1020003,通用英语III,韩笑,70.2,87,53,47,47,0%,12.8%,23.4%,29.8%,34%
622,0345	,b1020003,通用英语III,韩笑,71.5,85,48,47,45,0%,6.7%,37.8%,31.1%,24.4%
562,0345	,b1020003,通用英语III,韩笑,71.1,90,49,49,49,4.1%,10.2%,28.6%,22.4%,34.7%
562,0345	,b1020003,通用英语III,韩笑,65.9,90,18,43,41,0%,14.6%,17.1%,14.6%,53.7%
622,1806	,b2030176,会计学原理（全英文）,陶瑞翠,77.9,95,60,76,74,1.4%,10.8%,20.3%,25.7%,41.9%
622,1806	,b2030176,会计学原理（全英文）,陶瑞翠,79.3,87,66,3,3,0%,33.3%,33.3%,0%,33.3%
562,1806	,b2030176,会计学原理（全英文）,陶瑞翠,71.2,92,36,70,69,0%,8.7%,17.4%,26.1%,47.8%
622,0886	,b1020003,通用英语III,郑莉,75.8,88,64,46,46,0%,6.5%,34.8%,37%,21.7%
622,0886	,b1020003,通用英语III,郑莉,73.6,86,53,44,44,0%,6.8%,34.1%,18.2%,40.9%
562,0886	,b1020003,通用英语III,郑莉,76.6,90,66,49,48,2.1%,14.6%,39.6%,35.4%,8.3%
562,0886	,b1020003,通用英语III,郑莉,72.2,84,64,49,49,0%,6.1%,20.4%,40.8%,32.7%
622,1809	,b2030177,运营管理（全英文）,马才巍,69,90,36,52,45,0%,11.1%,28.9%,24.4%,35.6%
562,1809	,b2030177,运营管理（全英文）,马才巍,74.7,95,35,55,51,5.9%,11.8%,39.2%,19.6%,23.5%
622,1812	,b2030180,跨国公司财务（全英文）,王宁,80.8,94,61,40,36,8.3%,36.1%,36.1%,13.9%,5.6%
622,1812	,b2030180,跨国公司财务（全英文）,王宁,76,78,72,3,3,0%,0%,100%,0%,0%
622,1814	,b2030181,商务沟通（全英文）,庄伟,89.4,98,60,42,39,71.8%,20.5%,0%,7.7%,0%
562,1814	,b2030181,商务沟通（全英文）,庄伟,85,93,65,42,42,7.1%,64.3%,23.8%,4.8%,0%
622,1816	,b2030189,投资组合管理,马克星,82.1,97,62,43,43,14%,44.2%,23.3%,16.3%,2.3%
622,1817	,b2030191,证券投资学,宋辉旺,77.8,94,55,44,44,11.4%,34.1%,27.3%,25%,2.3%
562,1817	,b2030191,证券投资学,宋辉旺,74.1,93,51,43,43,2.3%,18.6%,34.9%,30.2%,14%
622,0628	,b1020035,大学化学,周玉林,71.3,89,37,41,40,0%,10%,20%,22.5%,47.5%
622,0628	,b1020035,大学化学,周玉林,72.3,91,46,42,42,0%,14.3%,16.7%,23.8%,45.2%
622,0628	,b1020035,大学化学,周玉林,69.7,86,46,40,39,0%,5.1%,15.4%,23.1%,56.4%
602,0628	,b1020035,大学化学,周玉林,70.7,94,45,41,39,2.6%,5.1%,15.4%,25.6%,51.3%
602,0628	,b1020035,大学化学,周玉林,72.1,97,44,40,40,5%,10%,15%,20%,50%
602,0628	,b1020035,大学化学,周玉林,70.9,87,45,41,41,0%,4.9%,19.5%,31.7%,43.9%
602,0628	,b1020035,大学化学,周玉林,71.3,94,48,43,43,2.3%,4.7%,16.3%,34.9%,41.9%
602,0628	,b1020035,大学化学,周玉林,71.9,92,45,43,43,0%,11.6%,16.3%,25.6%,46.5%
562,0628	,b1020035,大学化学,周玉林,68.8,88,48,43,41,0%,7.3%,12.2%,19.5%,61%
562,0628	,b1020035,大学化学,周玉林,64.6,82,43,40,39,0%,0%,2.6%,23.1%,74.4%
562,0628	,b1020035,大学化学,周玉林,70.6,95,49,41,40,2.5%,7.5%,7.5%,32.5%,50%
562,0628	,b1020035,大学化学,周玉林,64.7,95,40,40,40,2.5%,5%,5%,12.5%,75%
562,0628	,b1020035,大学化学,周玉林,67,86,26,40,39,0%,2.6%,12.8%,25.6%,59%
561,0628	,b1020035,大学化学,周玉林,69.3,89,48,40,40,0%,7.5%,17.5%,17.5%,57.5%
561,0628	,b1020035,大学化学,周玉林,70.8,90,48,40,40,0%,7.5%,20%,20%,52.5%
561,0628	,b1020035,大学化学,周玉林,67.8,93,40,40,40,2.5%,5%,12.5%,17.5%,62.5%
