学期id,新学期课程序号,课程代码,课程名称,课程教师,平均分,最高分,最低分,预测人数,实际人数,90-100比例,80-89.9比例,70-79.9比例,60-69.9比例,0-59.9比例
602,1389	,b2030130,网络营销,马才巍,77.3,95,39,30,27,3.7%,22.2%,33.3%,37%,3.7%
562,1389	,b2030130,网络营销,马才巍,84.9,94,74,29,29,24.1%,34.5%,37.9%,3.4%,0%
602,0739	,b2013019,超级电容器材料与技术,李靖,83.6,92,75,21,21,14.3%,57.1%,28.6%,0%,0%
602,0812	,b1100008,形势与政策（模块3）,薛志鹏,79.8,91,67,85,85,2.4%,76.5%,21.2%,0%,0%
602,0379	,b2021039,英语语音学,周洲,86.2,91,78,32,32,15.6%,81.2%,3.1%,0%,0%
602,0379	,b2021039,英语语音学,周洲,86.1,92,79,36,36,11.1%,86.1%,2.8%,0%,0%
562,0379	,b2021039,英语语音学,周洲,62,62,62,1,1,0%,0%,0%,100%,0%
561,0379	,b2021039,英语语音学,周洲,85.6,92,80,31,31,35.5%,38.7%,25.8%,0%,0%
561,0379	,b2021039,英语语音学,周洲,84.9,92,78,30,30,26.7%,56.7%,16.7%,0%,0%
561,0379	,b2021039,英语语音学,周洲,85.4,93,80,30,30,30%,56.7%,13.3%,0%,0%
602,1403	,b2030152,信用法律与法规,秦宝燕,81.4,95,64,78,78,6.4%,44.9%,26.9%,17.9%,3.8%
602,1403	,b2030152,信用法律与法规,秦宝燕,90.4,97,80,31,31,48.4%,48.4%,3.2%,0%,0%
561,1403	,b2030152,信用法律与法规,秦宝燕,71.8,95,37,120,118,0.8%,1.7%,15.3%,37.3%,44.9%
602,0950	,b1090001,基础工程训练,万金贵,83.3,93,62,39,39,76.9%,20.5%,2.6%,0%,0%
602,0950	,b1090001,基础工程训练,万金贵,84.3,91,71,38,38,44.7%,44.7%,10.5%,0%,0%
602,1030	,b1090001,基础工程训练,祖英利,86.8,92,60,39,39,41%,51.3%,5.1%,2.6%,0%
602,0954	,b1090001,基础工程训练,李颖,85.1,92,35,40,40,55%,37.5%,5%,0%,2.5%
602,1536	,g1090001,基础工程训练,严剑刚,85.3,89,79,33,33,90.9%,9.1%,0%,0%,0%
602,0218	,b1020012,线性代数,刘丽丽,80,100,35,87,85,11.8%,36.5%,24.7%,9.4%,17.6%
602,0826	,b4090002,基础工程训练 B,祖英利,85.6,93,75,37,36,33.3%,55.6%,11.1%,0%,0%
602,0826	,b4090002,基础工程训练 B,祖英利,85.4,93,79,39,39,23.1%,71.8%,5.1%,0%,0%
562,0826	,b4090002,基础工程训练 B,祖英利,87.1,92,82,30,30,23.3%,76.7%,0%,0%,0%
562,0826	,b4090002,基础工程训练 B,祖英利,85.4,93,77,27,27,22.2%,66.7%,11.1%,0%,0%
561,0826	,b4090002,基础工程训练 B,祖英利,84.5,93,69,29,29,17.2%,65.5%,13.8%,3.4%,0%
602,0825	,b4090002,基础工程训练 B,李颖,84.4,92,72,36,36,13.9%,63.9%,22.2%,0%,0%
602,0825	,b4090002,基础工程训练 B,李颖,81.9,91,67,38,38,10.5%,63.2%,18.4%,7.9%,0%
561,0825	,b4090002,基础工程训练 B,李颖,86.1,93,60,37,37,18.9%,73%,5.4%,2.7%,0%
602,0824	,b4090002,基础工程训练 B,万金贵,85.3,91,75,38,38,7.9%,84.2%,7.9%,0%,0%
561,0824	,b4090002,基础工程训练 B,万金贵,85.1,93,78,35,35,5.7%,88.6%,5.7%,0%,0%
602,0935	,b2011056,工业自动化与机器人技术,王素娟,78.3,95,60,40,40,15%,27.5%,32.5%,25%,0%
602,0605	,b1030002,中国商务文化（全英文）,曾学慧,86.9,93,83,31,31,16.1%,83.9%,0%,0%,0%
602,0983	,b2011137,现代工程制图I,袁群,75.2,95,40,84,82,11%,34.1%,23.2%,15.9%,15.9%
602,0983	,b2011137,现代工程制图I,袁群,77.8,99,46,93,91,11%,41.8%,25.3%,14.3%,7.7%
561,0983	,b2011137,现代工程制图I,袁群,65.9,97,5,57,57,8.8%,26.3%,17.5%,12.3%,35.1%
561,0983	,b2011137,现代工程制图I,袁群,73.5,95,21,93,93,6.5%,25.8%,25.8%,19.4%,22.6%
602,0992	,b2011141,现代设计理论与方法,崔立,83.7,93,42,78,78,19.2%,59%,17.9%,2.6%,1.3%
602,0995	,b2011152,液压与气压传动,苑文婧,66.8,95,20,48,47,6.4%,17%,8.5%,23.4%,44.7%
561,0995	,b2011152,液压与气压传动,苑文婧,63.8,97,25,83,81,1.2%,8.6%,12.3%,12.3%,65.4%
602,1013	,b2011187,有限元分析,蒋佳,86.4,94,77,38,38,42.1%,57.9%,0%,0%,0%
602,1861	,b1090002,基础工程训练（全英文）,朱文华,77,85,71,29,28,0%,28.6%,67.9%,3.6%,0%
562,1861	,b1090002,基础工程训练（全英文）,朱文华,81.7,83,80,7,6,0%,66.7%,33.3%,0%,0%
602,1678	,g2065008,数字媒体技术基础,薛元昕,77.5,90,62,33,32,3.1%,6.2%,50%,28.1%,12.5%
561,1678	,g2065008,数字媒体技术基础,薛元昕,73.3,96,41,58,58,3.4%,24.1%,25.9%,25.9%,20.7%
602,1679	,g2065031,高级WEB网站设计,林建华,71,99,31,38,37,16.2%,21.6%,10.8%,29.7%,21.6%
561,1679	,g2065031,高级WEB网站设计,林建华,58.9,100,30,34,34,5.9%,8.8%,14.7%,11.8%,58.8%
602,1680	,g2065034,应用妆饰艺术概论,张晓妍,93.1,97,88,34,34,55.9%,44.1%,0%,0%,0%
602,1681	,g2065035,应用服饰艺术概论,江洁,87.1,95,75,34,34,47.1%,47.1%,5.9%,0%,0%
561,1681	,g2065035,应用服饰艺术概论,江洁,85.5,95,68,37,37,27%,64.9%,5.4%,2.7%,0%
602,1702	,g4061008,电路与电工技术实训,王志敏,70.4,94,60,32,32,6.2%,21.9%,18.8%,53.1%,0%
602,1702	,g4061008,电路与电工技术实训,王志敏,73.5,94,60,32,32,12.5%,25%,25%,37.5%,0%
561,1702	,g4061008,电路与电工技术实训,王志敏,72.9,90,60,28,28,10.7%,28.6%,14.3%,46.4%,0%
561,1702	,g4061008,电路与电工技术实训,王志敏,73.4,90,62,32,31,12.9%,25.8%,25.8%,35.5%,0%
602,1215	,b2013068,计算材料学导论,王元元,76,91,53,16,16,12.5%,31.2%,6.2%,18.8%,31.2%
602,1222	,b2013081,物理化学,李文琴,71.4,87,47,27,27,0%,3.7%,22.2%,33.3%,40.7%
561,1222	,b2013081,物理化学,李文琴,66.4,85,32,30,30,0%,0%,10%,26.7%,63.3%
561,1222	,b2013081,物理化学,李文琴,71.3,86,51,31,31,0%,3.2%,19.4%,29%,48.4%
602,1271	,b2022035,财务管理,史美霖,77.7,91,45,33,33,15.2%,24.2%,30.3%,12.1%,18.2%
602,1312	,b2030015,程序设计基础（Java）,潘海兰,74.9,100,24,87,87,16.1%,16.1%,16.1%,16.1%,35.6%
602,1383	,b2030110,商务智能（双语）,羊英,80.5,90,65,22,22,9.1%,45.5%,31.8%,9.1%,4.5%
562,1383	,b2030110,商务智能（双语）,羊英,80.9,94,19,85,85,4.7%,54.1%,36.5%,3.5%,1.2%
602,1402	,b2030150,信用保险,郑秀君,83.5,95,61,81,80,15%,56.2%,20%,6.2%,2.5%
602,1402	,b2030150,信用保险,郑秀君,83.8,91,65,37,37,10.8%,64.9%,21.6%,2.7%,0%
561,1402	,b2030150,信用保险,郑秀君,86.5,93,69,87,86,18.6%,66.3%,10.5%,3.5%,1.2%
602,1811	,b2030178,市场营销学（全英文）,张青,65,88,31,45,40,0%,7.5%,10%,22.5%,60%
561,1811	,b2030178,市场营销学（全英文）,张青,68.7,89,15,43,42,0%,14.3%,21.4%,28.6%,35.7%
602,0319	,b2041071,建筑初步,徐峰,80.1,94,64,21,21,23.8%,38.1%,14.3%,23.8%,0%
602,0670	,b4021031,日语专业职业导入课,赵枫,80.3,90,75,31,31,16.1%,35.5%,48.4%,0%,0%
561,0670	,b4021031,日语专业职业导入课,赵枫,86.3,98,65,33,33,6.1%,36.4%,33.3%,24.2%,0%
602,1431	,b4030045,计量经济实践,赵迎东,71.3,90,39,81,80,15%,18.8%,21.2%,43.8%,1.2%
561,1431	,b4030045,计量经济实践,赵迎东,78.2,95,39,85,83,21.7%,31.3%,33.7%,10.8%,2.4%
602,1568	,g2061163,建筑CAD初级,傅红霞,76,90,61,30,29,0%,3.4%,27.6%,51.7%,17.2%
561,1568	,g2061163,建筑CAD初级,傅红霞,71.7,88,61,32,31,0%,0%,6.5%,32.3%,61.3%
602,1571	,g2061168,建筑构造,张锦京,69.3,90,38,36,35,2.9%,25.7%,17.1%,28.6%,25.7%
561,1571	,g2061168,建筑构造,张锦京,63.3,94,28,37,37,10.8%,13.5%,8.1%,24.3%,43.2%
602,1626	,g2062161,数据结构,吴月萍,66.4,98,32,52,51,7.8%,5.9%,17.6%,13.7%,54.9%
602,0193	,g2062177,网络边界安全,外教计应,90,100,85,40,40,100%,0%,0%,0%,0%
602,0194	,g2062178,网络安全,外教计应,89.8,100,85,40,40,100%,0%,0%,0%,0%
562,0150	,g0061013,《高等数学》基础 A,王斌,76.6,92,29,79,78,5.1%,38.5%,30.8%,15.4%,10.3%
562,0158	,g0062020,中土世界--新西兰,史飞,83.3,98,60,44,41,22%,41.5%,29.3%,7.3%,0%
561,0158	,g0062020,中土世界--新西兰,史飞,80.8,97,70,76,76,14.5%,21.1%,64.5%,0%,0%
562,0012	,b0021019,计算机二级考（C/C++语言）A,姜存理,69.7,88,19,72,70,0%,14.3%,30%,31.4%,24.3%
561,0012	,b0021019,计算机二级考（C/C++语言）A,姜存理,72.2,94,30,78,68,2.9%,7.4%,42.6%,27.9%,19.1%
562,0740	,b1020043,商务英语（中级）,杨敏,83,96,68,48,47,4.3%,55.3%,34%,6.4%,0%
562,0740	,b1020043,商务英语（中级）,杨敏,83.1,93,73,48,48,8.3%,56.2%,33.3%,2.1%,0%
562,0740	,b1020043,商务英语（中级）,杨敏,80.6,92,66,23,20,5%,45%,30%,20%,0%
562,1149	,b2012154,智能信息获取技术,杜奕,84.4,94,60,41,39,30.8%,35.9%,28.2%,5.1%,0%
562,0484	,b4012005,程序设计与实践,杨雯静,81.8,100,39,56,55,27.3%,20%,20%,16.4%,16.4%
562,0482	,b4012005,程序设计与实践,王安保,71.9,94,8,50,50,18%,32%,26%,14%,10%
562,0481	,b4012005,程序设计与实践,施红,77,100,42,35,32,6.2%,9.4%,18.8%,31.2%,34.4%
561,0481	,b4012005,程序设计与实践,施红,81,96,71,4,3,33.3%,0%,0%,33.3%,33.3%
562,1082	,b2012021,单片机原理与应用,柴郁,74.7,93,44,34,31,9.7%,22.6%,35.5%,16.1%,16.1%
562,1082	,b2012021,单片机原理与应用,柴郁,66,91,25,47,45,2.2%,13.3%,20%,24.4%,40%
562,0160	,b2011138,现代工程制图II,伍晓榕,76.1,92,62,42,39,7.7%,12.8%,25.6%,38.5%,15.4%
562,0160	,b2011138,现代工程制图II,伍晓榕,76.6,89,61,58,53,1.9%,15.1%,28.3%,41.5%,13.2%
562,0160	,b2011138,现代工程制图II,伍晓榕,75.4,91,63,55,53,11.3%,17%,18.9%,34%,18.9%
561,0160	,b2011138,现代工程制图II,伍晓榕,36,55,17,2,2,0%,0%,0%,0%,100%
562,1118	,b2012092,数据挖掘技术,王彤,72.2,89,26,74,72,2.8%,20.8%,25%,23.6%,27.8%
562,0465	,b1070010,保健班-4,王聪,55.9,60,0,44,44,0%,0%,0%,93.2%,6.8%
562,0465	,b1070010,保健班-4,王聪,58.9,60,0,54,54,0%,0%,0%,98.1%,1.9%
562,0606	,b1070092,男乒-3,黄宁,85.6,95,73,39,39,31.6%,47.4%,21.1%,0%,0%
562,0606	,b1070092,男乒-3,黄宁,81.1,95,0,42,42,23.8%,40.5%,26.2%,7.1%,2.4%
562,0606	,b1070092,男乒-3,黄宁,80.3,95,0,40,40,32.5%,32.5%,27.5%,2.5%,5%
562,0816	,b1100008,形势与政策（模块3）,褚鑫鑫,89.4,98,78,78,77,18.2%,70.1%,11.7%,0%,0%
562,0816	,b1100008,形势与政策（模块3）,褚鑫鑫,88.3,98,77,85,85,17.6%,50.6%,31.8%,0%,0%
561,0816	,b1100008,形势与政策（模块3）,褚鑫鑫,97.1,99,85,80,80,97.5%,1.2%,1.2%,0%,0%
562,1306	,b2030004,财务分析,卞琳琳,72.4,93,30,63,63,1.6%,25.4%,30.2%,20.6%,22.2%
562,1307	,b2030005,财务管理Ⅰ,王辉,63.1,93,30,127,125,3.2%,2.4%,19.2%,16%,59.2%
562,1314	,b2030018,第二外语II（日语）,徐利佳,86.1,99,65,27,26,26.9%,46.2%,19.2%,3.8%,3.8%
562,1314	,b2030018,第二外语II（日语）,徐利佳,83.3,97,60,44,39,33.3%,35.9%,12.8%,2.6%,15.4%
562,1398	,b2030145,西方经济学,胥丽,68.2,91,35,52,50,0%,14%,12%,16%,58%
562,1408	,b2030159,应用统计学,范涛,77.7,93,44,74,72,0%,6.9%,48.6%,25%,19.4%
562,1406	,b2030157,电子商务新技术,陈建,79.2,88,66,22,22,0%,31.8%,68.2%,0%,0%
562,1793	,b2030160,邮轮服务与管理,徐菱苓,63.7,92,26,28,26,0%,7.7%,0%,19.2%,73.1%
562,1804	,b2030175,西方经济学（全英文）,姚莉,74.1,90,44,54,53,7.5%,24.5%,30.2%,24.5%,13.2%
562,1821	,b2030199,数据模型与投资决策,胥丽,83.1,95,60,22,22,50%,36.4%,0%,13.6%,0%
562,0394	,b2041108,设计图学,袁和法,73.2,93,48,23,23,8.7%,17.4%,34.8%,17.4%,21.7%
562,1705	,g4061011,电气自动化技术专业毕业实践与制作,冯丽平,72.2,92,0,61,61,1.6%,19.7%,47.5%,29.5%,1.6%
562,1706	,g4061024,机电一体化技术专业毕业实践与制作,林海晨,74.4,84,60,51,50,0%,22%,58%,20%,0%
562,1707	,g4061027,机械制造与自动化专业毕业实践与制作,曾红兵,76.5,87,65,28,28,0%,39.3%,42.9%,17.9%,0%
562,1710	,g4061040,模具设计与制造专业毕业实践与制作,叶卫东,83.7,90,76,35,35,2.9%,77.1%,20%,0%,0%
562,1713	,g4061076,工商企业管理专业毕业实践与制作,胡世涛,77.5,87,65,39,39,0%,20.5%,53.8%,20.5%,5.1%
562,1716	,g4061087,建筑经济专业毕业实践与制作,傅红霞,78.8,89,69,35,35,0%,40%,57.1%,2.9%,0%
562,1722	,g4062001,国际商务专业毕业实践与制作,岑健,80.1,88,68,61,61,0%,60.7%,34.4%,4.9%,0%
562,1724	,g4062014,应用英语专业毕业实践与制作,毛婷,84.1,93,67,59,59,13.6%,67.8%,15.3%,3.4%,0%
562,1733	,g4065002,计算机应用技术专业（中高贯通）毕业实践与制作,吴月萍,78.5,91,32,74,74,2.7%,51.4%,33.8%,10.8%,1.4%
562,0376	,b2021026,英汉语言对比,王晓平,85.9,91,76,40,37,10.8%,75.7%,13.5%,0%,0%
562,0376	,b2021026,英汉语言对比,王晓平,85.7,92,62,36,36,22.2%,55.6%,16.7%,0%,5.6%
562,0225	,b1020062,大学物理A(模块1),徐志华,71,100,37,81,80,6.2%,10%,22.5%,22.5%,38.8%
562,0225	,b1020062,大学物理A(模块1),徐志华,69.4,96,34,85,84,4.8%,13.1%,21.4%,13.1%,47.6%
562,1854	,b1020062,大学物理A(模块1),高勇,71.3,95,44,78,76,3.9%,14.5%,18.4%,17.1%,46.1%
562,1854	,b1020062,大学物理A(模块1),高勇,72.8,99,26,84,82,4.9%,17.1%,15.9%,22%,40.2%
562,0229	,b1020062,大学物理A(模块1),王玉,71.9,99,33,78,78,5.1%,14.1%,10.3%,17.9%,52.6%
562,0229	,b1020062,大学物理A(模块1),王玉,72.4,97,46,81,80,2.5%,5%,22.5%,15%,55%
562,0232	,b1020063,大学物理A(模块2),徐成年,72.5,100,41,30,30,6.7%,13.3%,13.3%,26.7%,40%
